AffiliationID,ProviderID,ProviderAffliated,ProviderAffiliationName,ProviderAffiliationType,ProviderAffiliationStartDate,ProviderAffiliationEndDate
8b61e4ea-dc3a-4342-932c-d8bcb3e33ebc,3589f4a3-2fec-4c37-b606-ddc770d14e9d,Yes,Jersey Shore Hospital,Medical Group,2019-08-11,2021-07-16
6504992a-4c88-4d97-9064-d6267caf495f,d22e5365-14a7-4e53-ac4d-7568b981e7c8,Yes,Hackensack Medical Affiliates,Hospital,2018-07-17,2024-04-19
5fce973b-eaa7-4ed0-aa42-e3040dbf72ee,2b230c5b-98b0-466e-bfc4-8021733dc7b6,Yes,Saint Mary's Medical Center,Clinic,2021-09-04,2023-01-05
90b8a7c5-bc8a-486e-be9f-0fbbd1789f5b,09ba1750-76ba-49fb-af27-adad14416c4c,Yes,Trinitas Regional Medical Center,Medical Group,2016-11-21,2022-05-18
170830d8-a38f-4bd2-b203-3cd87413e46b,cb03aa9e-bd6e-4fc3-91c6-d22915e58087,Yes,Hackensack Medical Affiliates,Clinic,2021-01-26,2025-07-03
ceb36d9d-28a4-40ba-b02b-6ceacf24f905,414e9a8e-66f5-4056-87c9-6cdbbad27dab,Yes,Princeton Health Group,Clinic,2022-06-26,2024-05-03
63555f28-c537-4cfd-8a94-f2a23ae38343,835d6d81-3269-4bd1-84ce-bbf02921be9e,Yes,Hackensack Medical Affiliates,Hospital,2016-07-13,2022-03-23
36348bf0-8bf1-425a-a9d2-22bb940079e3,42534d02-c3bb-4ce2-8123-1619951aa62b,No,,,,
cf3e23c4-a543-471b-af09-d6632f33b59f,d901f083-5fc6-4d43-b8c7-4d017ae04fec,Yes,RWJBarnabas Health,Health System,2018-02-11,2021-12-11
8945b8ef-cee9-4434-ad78-b39e7eedf2d8,1e2832e5-7864-449a-8455-ca3777bed978,Yes,RWJBarnabas Health,Medical Group,2023-12-31,2025-07-03
6bfadf2c-d76d-4d31-a807-7d455261abe8,cdb48bcd-8e4c-4673-91dd-a7e5386341db,Yes,RWJBarnabas Health,Medical Group,2015-12-10,2018-03-04
53b62494-20de-4a13-a09e-6859a7dfbe3d,807867a6-5b14-4843-8eef-6120b680266e,Yes,Saint Mary's Medical Center,Hospital,2015-08-31,2025-03-17
3c4822ec-0e2b-4e9c-87e2-c4c2614fab34,9eb1a8fd-00ab-4a8f-abb8-335576ee7940,Yes,Hackensack Medical Affiliates,Hospital,2017-11-08,2022-04-04
d849c755-1c31-40dc-aad4-29dc85df7631,4644701f-c79c-45d3-85e8-2ae2afcbe45c,Yes,Hackensack Medical Affiliates,Hospital,2024-02-23,2025-07-03
8e66c336-1e8c-43ec-a630-f72619bba38d,5e5c3106-986b-44be-97eb-9f46a5a489af,Yes,Trinitas Regional Medical Center,Clinic,2023-03-31,2025-07-03
