CertificationID,ProviderID,ProviderBoardCertified,ProviderCertificateIssueDate,ProviderCertificateExpiryDate,ProviderDegree,ProviderBoardName,ProviderYearsOfExperience
63a3968c-0984-453b-bff2-47318633d901,3589f4a3-2fec-4c37-b606-ddc770d14e9d,Yes,2020-04-01,2025-04-14,MD,American Board of Radiology,20
2ea7a9e1-5daf-4700-953c-6f349de28d8d,d22e5365-14a7-4e53-ac4d-7568b981e7c8,Yes,2020-07-02,2023-11-03,MBBS,American Board of Family Medicine,36
a94a5e06-405b-488d-ac0c-72254d8dcc3b,2b230c5b-98b0-466e-bfc4-8021733dc7b6,Yes,2011-06-15,2022-04-11,MD,American Board of Surgery,2
67f90244-bf40-4a84-930b-956eafe6d866,09ba1750-76ba-49fb-af27-adad14416c4c,Yes,2020-12-19,2025-05-03,DO,American Board of Psychiatry and Neurology,11
740f9b4a-1e34-423c-9a50-e3be7603d219,cb03aa9e-bd6e-4fc3-91c6-d22915e58087,No,,,DNB,,6
24e3e414-eefc-426c-825c-e4d253fce0fc,414e9a8e-66f5-4056-87c9-6cdbbad27dab,Yes,2014-06-10,2020-08-12,PhD,American Board of Internal Medicine,20
c1016e28-0e6c-4411-abcc-71767be0b229,835d6d81-3269-4bd1-84ce-bbf02921be9e,Yes,2012-01-03,2012-10-21,DNB,American Board of Surgery,11
4ada19b3-2981-4aef-aec3-c1ec8787bc96,42534d02-c3bb-4ce2-8123-1619951aa62b,Yes,2015-12-30,2017-08-04,MBBS,American Board of Internal Medicine,11
a0ef4ca3-d279-43dd-83d1-ba7700b52b8a,d901f083-5fc6-4d43-b8c7-4d017ae04fec,Yes,2013-06-19,2021-03-15,DNB,American Board of Psychiatry and Neurology,20
a7cc145b-15b9-4a4c-b4c2-b51b6a2c7138,1e2832e5-7864-449a-8455-ca3777bed978,Yes,2020-05-05,2023-01-07,DO,American Osteopathic Board,40
5ac954bf-a7cc-4335-b4d3-748368477f99,cdb48bcd-8e4c-4673-91dd-a7e5386341db,Yes,2021-11-23,2022-09-25,MBBS,American Board of Radiology,13
34d640ed-56a4-45de-9652-fb806a2dd296,807867a6-5b14-4843-8eef-6120b680266e,No,,,MBBS,,22
