SpecialityID,ProviderID,ProviderSpecialityCode,ProviderSpecialityType,ProviderSpecialityName,ProviderSpecialityStartDate,ProviderSpecialityEndDate
1d56deda-1709-4818-9cea-4ce4746ed9e6,3589f4a3-2fec-4c37-b606-ddc770d14e9d,208VP0000X,Secondary,Psychiatry,2022-01-13,
dc81be1a-996d-4f70-b412-fcd31fe4d350,d22e5365-14a7-4e53-ac4d-7568b981e7c8,207N00000X,Primary,Pediatrics,2020-01-31,
4f1542a5-95bb-46bd-a03a-9e46d1a541fd,2b230c5b-98b0-466e-bfc4-8021733dc7b6,208D00000X,Secondary,General Practice,2017-04-18,
3f59ad01-717e-4601-9731-3d7b97cc438b,09ba1750-76ba-49fb-af27-adad14416c4c,208Z00000X,Secondary,Geriatric Medicine,2016-10-10,
d612c54c-a1bc-4819-b898-3975140626fd,cb03aa9e-bd6e-4fc3-91c6-d22915e58087,207V00000X,Primary,Obstetrics & Gynecology,2023-04-05,2025-05-11
141670be-2a51-46fb-945f-b1be51b7190b,414e9a8e-66f5-4056-87c9-6cdbbad27dab,208VP0000X,Secondary,Psychiatry,2016-05-05,2019-04-25
d457580f-8307-4bc8-9469-cb7dab2f867d,835d6d81-3269-4bd1-84ce-bbf02921be9e,208Z00000X,Secondary,Geriatric Medicine,2024-08-07,
3a8e3cd1-c744-42a7-83c0-064bcf08909c,42534d02-c3bb-4ce2-8123-1619951aa62b,208VP0000X,Secondary,Psychiatry,2023-04-06,
edb76b12-673a-4198-b815-ac0f3773f034,d901f083-5fc6-4d43-b8c7-4d017ae04fec,208VP0000X,Secondary,Psychiatry,2019-04-18,
c90d007b-02e8-4336-85de-39ad262cff07,1e2832e5-7864-449a-8455-ca3777bed978,207Q00000X,Primary,Family Medicine,2016-05-27,
885c3f83-0398-41de-b9ff-ca5694a07f68,cdb48bcd-8e4c-4673-91dd-a7e5386341db,207Q00000X,Primary,Family Medicine,2024-11-10,
04c4df7e-74a3-4b86-931a-dc819104896a,807867a6-5b14-4843-8eef-6120b680266e,207V00000X,Primary,Obstetrics & Gynecology,2022-05-14,2022-10-21
3c031bc5-8775-40c4-94c4-272acf5ec9fd,9eb1a8fd-00ab-4a8f-abb8-335576ee7940,208VP0000X,Secondary,Psychiatry,2023-05-26,2024-01-13
7fd39324-e7c5-4fd3-96d9-6e3b41042c48,4644701f-c79c-45d3-85e8-2ae2afcbe45c,208Z00000X,Secondary,Geriatric Medicine,2021-08-17,2025-05-17
